movie_id,genre_id
3683,18
22803,80
285923,28
39437,53
1950,10749
640,80
97630,18
9767,35
11631,10749
32856,10749
6519,12
8741,36
1850,18
524,80
26389,80
11817,35
9907,35
9969,10751
18239,14
808,16
38050,53
9390,18
72105,14
2898,10749
10312,18
2022,10749
37686,878
9919,10749
187017,35
628,10749
302699,35
9441,10749
224141,35
388,18
2112,28
10329,12
74465,35
13811,12
10320,27
50646,18
8920,35
13673,10751
6950,18
225574,53
13836,10751
752,53
6038,12
9975,16
11451,10751
60304,27
2251,18
46529,53
231,53
300671,18
228326,16
66,18
4421,18
2649,53
588,9648
9631,12
216282,53
306,35
928,27
6623,53
1577,28
9801,10749
2116,80
9624,53
14199,10751
1907,12
4599,35
22832,80
10390,10749
9879,53
38579,35
44603,14
11892,18
9691,12
1248,18
12220,18
72710,12
10782,18
9573,18
4959,53
10061,12
10386,16
421,35
316152,28
11615,53
13498,28
241554,80
2252,80
11968,53
10047,18
69668,53
9770,18
11212,12
10533,36
38363,53
9923,80
11863,53
18501,53
109491,18
9275,80
12634,80
10416,18
47327,53
15268,12
10796,878
9548,35
18947,35
1900,18
89,28
96724,10749
198184,28
9481,9648
